Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Гречаник,Валентин,Олегович,чоловік,1946-11-09,Ветеринар,місто Борислав,"парк Карпенка-Карого, буд. 0 кв. 82, Білопілля, 22637",020 107-37-42,zmykhailiuk@example.org
Шинкаренко,Людмила,Петрівна,жінка,2004-01-17,Ді-джей,селище Маріуполь,"площа Академічна, буд. 42 кв. 480, Сімферополь, 21160",080 986-84-74,neporozhniioleksandr@example.net
Єременко,Охрім,Сергійович,чоловік,1989-04-18,Педагог,хутір Соснівка,"площа Горизонтальна, буд. 63, Кременчук, 96150",+380 27 340-79-51,vasyllevchenko@example.org
Василашко,Георгій,Петрович,чоловік,1944-12-08,Льотчик,селище Кропивницький,"парк Новопланівська, буд. 25, Радомишль, 10187",+380 39 278-05-99,gmishchenko@example.org
Єфименко,Гаврило,Андрійович,чоловік,1948-02-08,Будник,селище Буськ,"парк Туристський, буд. 36, Новогродівка, 12095",+380 (80) 818-19-59,rieremenko@example.net
Ейбоженко,Омелян,Іванович,чоловік,1950-06-13,Дизайнер,місто Острог,"сквер Ламаний, буд. 1, Кам'янець-Подільський, 39191",+380 (51) 512-24-50,hanna81@example.com
Рябошапка,Георгій,Олексійович,чоловік,1953-04-22,Кушнір,хутір Черкаси,"шосе Олександра Богомольця, буд. 89, Гайворон, 65464",+380 00 329 84 68,etsiupa@example.org
Притула,Богодар,Олегович,чоловік,1975-01-20,Астронавт,село Жовква,"площа Давида Ойстраха, буд. 8 кв. 484, Семенівка, 56454",+380 69 784-36-71,sychpetro@example.org
Шило,Ірена,Володимирівна,жінка,1993-04-15,Акушер,село Заліщики,"парк Водопровідна, буд. 8 кв. 2, Боково-Хрустальне, 67153",+380 09 506-07-30,bohodar90@example.org
Кириленко,Мартин,Сергійович,чоловік,1994-10-16,Модельєр,місто Новомиргород,"набережна Степна, буд. 174, Нове Давидково, 46937",307-27-04,jprokopovych@example.org
Василевич,Олег,Володимирович,чоловік,1948-07-06,Модельєр,селище Тростянець,"площа Василя Фащенка, буд. 88, Заводське, 49564",+380 72 285 82 26,olhafomenko@example.org
Фурс,Прохір,Олегович,чоловік,2002-07-26,Паблік рилейшнз,село Донецьк,"набережна Фабрична, буд. 768, Авдіївка, 43207",462 80 98,kiakovenko@example.com
Терещенко,Леонтій,Петрович,чоловік,2003-06-09,Менеджер,місто Ладижин,"шосе Сергія Параджанова, буд. 555 кв. 702, Вуглегірськ, 61589",+380 (65) 148-77-82,avhustyn68@example.com
Чабан,Охрім,Сергійович,чоловік,1940-10-19,Кушнір,село Болехів,"провулок 19-та Лінія, буд. 53, Шахтарське, 81463",053 637 15 15,talanhanna@example.com
Доценко,Лукʼян,Олексійович,чоловік,1966-03-09,Єгер,хутір Хирів,"площа Туристська, буд. 29, Новоселиця, 59555",031 876 45 29,oksanatarasenko@example.net
Оніщук,Світлана,Петрівна,жінка,1939-06-16,Юрист,хутір Хрестівка,"площа Хлібна гавань, буд. 773 кв. 3, Герца, 56841",045 850-62-41,ievapavlyk@example.net
Стець,Арсен,Володимирович,чоловік,1995-03-03,Головний меркшейдер,селище Моспине,"сквер Вінницька, буд. 8 кв. 0, Приморськ, 15656",557 47 66,hukielysei@example.org
Шведченко,Устим,Андрійович,чоловік,1960-06-19,Адвокат,село Кролевець,"парк Райдужна, буд. 5 кв. 027, Городенка, 75097",+380 (06) 411-69-51,eiushchenko@example.org
Мазепа,Валентина,Петрівна,жінка,1998-03-21,Машиніст,хутір Рогатин,"площа Шевченка, буд. 615 кв. 34, Приморськ, 69545",+380 29 998 03 48,irena18@example.com
Ярема,Єва,Іванівна,жінка,1944-06-22,Сценарист,село Вільнянськ,"сквер Дачний 1-й, буд. 3 кв. 98, Свалява, 15727",+380 08 330-31-92,dzhuniustyna@example.net
Андрійович,Семен,Сергійович,чоловік,1969-02-20,Паралегал,селище Харцизьк,"провулок Космонавтів, буд. 53 кв. 1, Олешки, 40052",+380 27 179 54 93,zinkevychviktor@example.com
Романець,Августин,Володимирович,чоловік,1977-10-03,Біолог,хутір Олександрія,"набережна Байдарочний, буд. 01, Ірпінь, 01126",041 265 01 71,zabilamartyn@example.org
Непорожній,Віктор,Олексійович,чоловік,1959-10-16,Клавішник,селище Любомль,"проспект Рівності, буд. 422 кв. 3, Фастів, 23225",484 61 01,korzhliudmyla@example.com
Вахній,Златослава,Сергіївна,жінка,1953-05-03,Кінорежисер,місто Алушта,"шосе Виноградна, буд. 47, Інкерман, 99048",+380 24 627-18-68,vkorzh@example.org
Штокало,Артем,Іванович,чоловік,1980-08-20,М'ясник,хутір Дружківка,"проспект Самодіяльна, буд. 889, Гадяч, 98177",864-57-13,petliuraalla@example.net
Негода,Розалія,Олегівна,жінка,1989-02-07,Клавішник,село Чернігів,"парк Пироговська, буд. 025, Луганськ, 29082",+380 37 192-27-59,sofiiariabovil@example.net
Гриценко,Тимофій,Олексійович,чоловік,1954-11-13,Археолог,село Вовчанськ,"провулок Проектований 3-й, буд. 71, Новгород-Сіверський, 59138",+380 15 763-25-45,xchumak@example.net
Рябошапка,Олекса,Петрович,чоловік,1989-05-06,Круп'є,селище Сімферополь,"набережна Миколи Гумільова, буд. 675, Генічеськ, 27742",+380 (56) 249-47-04,deinekaada@example.net
Павлик,Охрім,Андрійович,чоловік,1971-10-16,Флорист,місто Ніжин,"вулиця Кортацці, буд. 190, Новодністровськ, 49216",+380 (34) 264-07-76,ihnattytarenko@example.com
Токар,Августин,Сергійович,чоловік,1939-02-21,Стиліст,село Роздільна,"набережна Парусна, буд. 259, Кам'янське, 87628",+380 16 573-27-22,vasylynapustovit@example.com
Вакарчук,Марʼяна,Сергіївна,жінка,1985-11-28,Електромонтер,село Шостка,"сквер Прохоровська, буд. 63, Городок, 31565",223-93-27,olesshchyrytsia@example.com
Корпанюк,Валентин,Сергійович,чоловік,1943-12-21,Ботанік,хутір Зміїв,"парк Морехідна, буд. 404 кв. 855, Білопілля, 12277",+380 87 424 69 81,priskalytvynenko@example.net
Жадан,Дарина,Олексіївна,жінка,1945-10-22,Психолог,селище Антрацит,"вулиця Павлова, буд. 3 кв. 6, Благовіщенське, 53982",+380 41 517 45 12,nbatih@example.com
Шеремета,Святослава,Володимирівна,жінка,1952-10-14,Астронавт,місто Золотоноша,"вулиця Мала Садова, буд. 781, Заліщики, 53144",+380 (67) 452-62-19,karpenkodaryna@example.com
Гайдамака,Богданна,Сергіївна,жінка,2002-04-10,Маркетолог,місто Бережани,"сквер Маразліївська, буд. 48, Снятин, 50551",954-23-46,panteleimoniashchenko@example.net
Дуплій,Тимофій,Петрович,чоловік,1995-08-02,Геолог,хутір Тальне,"провулок Сільськогосподарський, буд. 99 кв. 6, Угнів, 89160",005 921 04 53,panasatroshchenko@example.net
Андрусенко,Марко,Олексійович,чоловік,1947-12-06,Мікробіолог,село Білгород-Дністровський,"вулиця Старокінний, буд. 4 кв. 000, Зоринськ, 90032",+380 02 189-41-54,les87@example.org
